strategy,date,pnl,trades,balance
NEW_PRE,2024-10-09,0.0,0,10000.0
NEW_PRE,2024-10-10,0.0,0,10000.0
NEW_PRE,2024-10-11,0.0,0,10000.0
NEW_PRE,2024-10-14,0.0,0,10000.0
NEW_PRE,2024-10-15,0.0,0,10000.0
NEW_PRE,2024-10-16,0.0,0,10000.0
NEW_PRE,2024-10-31,0.0,0,10000.0
NEW_PRE,2024-11-01,0.0,0,10000.0
NEW_PRE,2024-11-04,0.0,0,10000.0
NEW_PRE,2024-11-05,0.0,0,10000.0
NEW_PRE,2024-11-06,0.0,0,10000.0
NEW_PRE,2024-11-07,0.0,0,10000.0
NEW_PRE,2024-11-08,-574.18,1,9425.82
NEW_PRE,2024-11-11,0.0,0,10000.0
NEW_PRE,2024-11-12,0.0,0,10000.0
NEW_PRE,2024-11-13,0.0,0,10000.0
NEW_PRE,2024-11-14,0.0,0,10000.0
NEW_PRE,2024-11-15,0.0,0,10000.0
NEW_PRE,2024-11-18,-222.6,1,9777.4
NEW_PRE,2024-11-19,0.0,0,10000.0
NEW_PRE,2024-11-20,0.0,0,10000.0
NEW_PRE,2024-11-21,0.0,0,10000.0
NEW_PRE,2024-11-22,0.0,0,10000.0
NEW_PRE,2024-11-26,0.0,0,10000.0
NEW_PRE,2024-11-27,0.0,0,10000.0
NEW_PRE,2024-11-29,-241.76,1,9758.24
NEW_PRE,2024-12-02,-600.35,1,9399.65
NEW_PRE,2024-12-03,0.0,0,10000.0
NEW_PRE,2024-12-04,0.0,0,10000.0
NEW_PRE,2024-12-05,1154.16,2,11154.16
NEW_PRE,2024-12-06,-19.96,2,9980.04
NEW_PRE,2024-12-09,0.0,0,10000.0
NEW_PRE,2024-12-10,0.0,0,10000.0
NEW_PRE,2024-12-11,-237.22,1,9762.78
NEW_PRE,2024-12-12,0.0,0,10000.0
NEW_PRE,2024-12-13,0.0,0,10000.0
NEW_PRE,2024-12-16,0.0,0,10000.0
NEW_PRE,2024-12-17,0.0,0,10000.0
NEW_PRE,2024-12-18,0.0,0,10000.0
NEW_PRE,2024-12-19,0.0,0,10000.0
NEW_PRE,2024-12-20,-34.31,1,9965.69
NEW_PRE,2024-12-23,0.0,0,10000.0
NEW_PRE,2024-12-24,0.0,0,10000.0
NEW_PRE,2024-12-26,0.0,0,10000.0
NEW_PRE,2024-12-27,624.19,1,10624.19
NEW_PRE,2024-12-30,486.57,2,10486.57
NEW_PRE,2024-12-31,636.68,1,10636.68
NEW_PRE,2025-01-02,0.0,0,10000.0
NEW_PRE,2025-01-03,0.0,0,10000.0
NEW_PRE,2025-01-06,38.6,2,10038.6
NEW_PRE,2025-01-07,1911.11,6,11911.11
NEW_PRE,2025-01-08,443.11,2,10443.11
NEW_PRE,2025-01-10,37.99,2,10037.99
NEW_PRE,2025-01-13,545.08,1,10545.08
NEW_PRE,2025-01-14,565.43,1,10565.43
NEW_PRE,2025-01-15,0.0,0,10000.0
NEW_PRE,2025-01-16,0.0,0,10000.0
NEW_PRE,2025-01-17,557.49,1,10557.49
NEW_PRE,2025-01-21,0.0,0,10000.0
NEW_PRE,2025-01-22,0.0,0,10000.0
NEW_PRE,2025-01-23,0.0,0,10000.0
NEW_PRE,2025-01-24,0.0,0,10000.0
NEW_PRE,2025-01-27,0.0,0,10000.0
NEW_PRE,2025-01-28,0.0,0,10000.0
NEW_PRE,2025-01-29,0.0,0,10000.0
NEW_PRE,2025-01-30,638.19,1,10638.19
NEW_PRE,2025-01-31,0.0,0,10000.0
NEW_PRE,2025-02-03,0.0,0,10000.0
NEW_PRE,2025-02-04,0.0,0,10000.0
NEW_PRE,2025-02-05,0.0,0,10000.0
NEW_PRE,2025-02-06,0.0,0,10000.0
NEW_PRE,2025-02-07,0.0,0,10000.0
NEW_PRE,2025-02-10,0.0,0,10000.0
NEW_PRE,2025-02-11,0.0,0,10000.0
NEW_PRE,2025-02-12,0.0,0,10000.0
NEW_PRE,2025-02-13,0.0,0,10000.0
NEW_PRE,2025-02-14,0.0,0,10000.0
NEW_PRE,2025-02-18,0.0,0,10000.0
