date,symbol,strategy,entry_price,exit_price,qty,gross_pnl,entry_cost,exit_cost,net_pnl,exit_reason,slippage_pct
2024-11-12,CERO,ATOM_SUP_EMA200,503.1467602270686,496.9000006991809,16,-99.95,1.18,1.18,-102.31,Trailing Stop,0.37092717810909315
2024-11-13,NMHI,ATOM_SUP_EMA200,4.997933549114507,5.4801795404884395,1822,878.65,9.31,9.59,859.75,TP,0.3191748852542793
2024-11-15,CERO,ATOM_SUP_EMA200,611.2008416346036,586.5597522024628,14,-344.98,1.19,1.18,-347.35,Trailing Stop,0.414303530991032
2024-11-18,NIVF,ATOM_SUP_EMA200,4499.5,4540.846068562488,1,41.35,1.1,1.1,39.15,Trailing Stop,0.3369898476254807
2024-11-19,PRFX,ATOM_SUP_EMA200,5.278365952151305,5.161040504571393,1824,-214.0,9.33,9.59,-232.92,Trailing Stop,0.13466515922226976
2024-11-29,PRFX,ATOM_SUP_EMA200,3.274718761523055,3.275688358752777,2831,2.74,14.36,14.77,-26.39,Trailing Stop,0.3441326816922083
2024-12-02,EHGO,ATOM_SUP_EMA200,5.4173648666269285,5.165591456583024,1716,-432.04,8.79,9.02,-449.85,Trailing Stop,0.2300056671555038
2024-12-02,PPBT,ATOM_SUP_EMA200,4.0,4.380106368356255,2184,830.15,11.11,11.45,807.59,TP,0.4521279919032901
2024-12-02,SNTI,ATOM_SUP_EMA200,3.48533146170196,3.8271008054232154,2771,947.04,14.07,14.49,918.48,TP,0.17642256941083953
2024-12-03,CTNT,ATOM_SUP_EMA200,5.847649891881359,5.4699432670855135,1634,-617.17,8.38,8.6,-634.15,SL,1.5359140091697845
2024-12-04,SVMH,ATOM_SUP_EMA200,1.6850971876923408,1.7271517456183465,5494,231.05,27.67,28.48,174.9,Trailing Stop,0.10689730373934907
2024-12-05,SVMH,ATOM_SUP_EMA200,1.756469659135952,1.7535898716081855,5407,-15.57,27.24,28.03,-70.84,Trailing Stop,0.22248241205203534
2024-12-05,PBM,ATOM_SUP_EMA200,31.65696182651545,29.76867018198075,293,-553.27,1.67,1.7,-556.64,SL,1.0156360912193039
2024-12-05,PRFX,ATOM_SUP_EMA200,6.150861334081468,5.78722624014231,1411,-513.09,7.25,7.44,-527.78,SL,0.9599344870232457
2024-12-05,TARA,ATOM_SUP_EMA200,4.332725946335563,4.751016834919443,1823,762.54,9.29,9.57,743.68,TP,0.31434558615349995
2024-12-05,RKDA,ATOM_SUP_EMA200,7.252355094153533,7.530319860680304,1193,331.61,6.16,6.34,319.11,Trailing Stop,0.29367943488508347
